,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Total Shelf Life in Months,Minimum Usable Period in Months,Skin Type,Formulation,Units Per Bundle,Coverage,Minimum Shelf Life in Months,Skin Tone,Type,Finish,Features,Colour,Brand,Price
110,56585,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Streetwear Crystal Shine Honey Shine Face Brightener,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,390
111,55300,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Lakme Shadow Artist Shimmer Stick,36,6,Not specified,Crayon,1,Not specified,12,Not specified,Not specified,Glitter,Not specified,Green,Lakme,350
112,55556,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon ColorStay Black Beauty Liquid Eye Liner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Revlon,685
113,49109,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Deborah Age Reset Anti Ageing Foundation 01,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Deborah,750
114,55272,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Women Absolute Precision Liquid Eye Liner,24,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Black,Lakme,475
115,56609,Women,Personal Care,Makeup,Compact,Spring,2017.0,,Streetwear Stay On Warm Compact,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,475
116,55078,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Lakme Nine to Five Flawless Creme Shell Compact,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Combination,Pressed,Matte,Not specified,Skin,Lakme,650
117,55281,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Lakme Cheek Chromatic Baked Blusher,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Pink,Lakme,550
118,55275,Women,Personal Care,Makeup,Compact,Summer,2019.0,Casual,Lakme Rose Powder With Sunscreen,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Combination,Pressed,Matte,Not specified,Pink,Lakme,140
119,55288,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Lakme Sun Kissed Face Sheer,24,24,Not specified,Cream,1,Not specified,6,Light to Medium,Not specified,Matte,Not specified,Skin,Lakme,400
120,56600,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Streetwear Stay On Liquid Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Not specified,Black,Streetwear,350
121,55243,Women,Personal Care,Makeup,Foundation and Primer,Summer,2019.0,Casual,Lakme Perfecting Natural Pearl Liquid Foundation,24,Not specified,All,Liquid,1,Medium,Not specified,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,150
122,49086,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Deborah Ultrafine Compact Powder 01,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Deborah,595
123,55244,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Shell Silk Naturelle Daily Foundation,Not specified,Not specified,All,Liquid,1,Medium,Not specified,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,350
124,56607,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Streetwear Shine Divine Whitening Natural Compact,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,210
125,57781,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,,Lotus Herbals Opulence Botanical Eye Liner,24,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Lotus Herbals,195
126,57786,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Lotus Herbals Naturalblend Loose Powder Auto-Puff,24,12,Not specified,Not specified,1,Not specified,6,Combination,Loose,Matte,Not specified,Beige,Lotus Herbals,445
127,55228,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Absolute White Intense Skin Cover Beige Honey 05 Foundation,36,6,Normal,Liquid,1,Medium,12,Tan to Dark,Foundation,Not specified,Regular,Beige,Lakme,775
128,57744,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lotus Herbals Pure Radiance Fresh Ivory Daily Foundation 350,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lotus Herbals,245
129,57743,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lotus Herbals Pure Radiance Soft Beige Daily Foundation 360,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lotus Herbals,245
130,55226,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Kajal,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Lakme,60
131,57788,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Lotus Herbals Pure Radiance Caramel Compact 575,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Lotus Herbals,295
132,56606,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Streetwear Shine Divine Whitening Fawn Compact,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,210
133,55245,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Silk Naturelle Marble Daily Foundation,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Lakme,350
134,55289,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Lakme Earth Blaze Face Sheer,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Bronze,Lakme,350
135,55242,Women,Personal Care,Makeup,Foundation and Primer,Summer,2019.0,Casual,Lakme Perfecting Natural Marble Liquid Foundation,24,Not specified,All,Liquid,1,Medium,Not specified,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,140
136,55070,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Absolute Kohl Ultimate Kajal,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Lakme,725
137,56601,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Streetwear Eye Definer Rose Eye Liner 10,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Not specified,Rose,Streetwear,165
138,55079,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Lakme Nine to Five Flawless Creme Marble Compact,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Combination,Pressed,Matte,Not specified,Skin,Lakme,650
139,56608,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Streetwear Shine Divine Whitening Ivory Compact,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,210
140,55274,Women,Personal Care,Makeup,Concealer,Spring,2017.0,Casual,Lakme Absolute White Intense Light to Medium Concealer,36,6,All,Stick,1,Medium,12,Wheatish,Not specified,Not specified,Not specified,Skin,Lakme,450
141,55280,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Lakme Women Pure Rouge Peach Affair Blusher,24,Not specified,Not specified,Liquid,Not specified,Not specified,Not specified,Fair to Light,Not specified,Glossy,Not specified,Pink,Lakme,475
142,55287,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Lakme Desert Rose Face Sheer,36,6,Not specified,Cream,1,Not specified,24,Light to Medium,Not specified,Matte,Not specified,Skin,Lakme,400
143,55273,Women,Personal Care,Makeup,Concealer,Spring,2017.0,Casual,Lakme Absolute White Intense Medium to Dark Concealer,36,6,All,Stick,1,Medium,12,Wheatish,Not specified,Not specified,Not specified,Skin,Lakme,450
144,55227,Women,Personal Care,Makeup,Foundation and Primer,Summer,2019.0,Casual,Lakme Absolute White Intense Skin Cover Ivory Fair Foundation 01,36,6,All,Liquid,1,Medium,12,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,750
145,57742,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lotus Herbals Pure Radiance Caramel Daily Foundation 370,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lotus Herbals,175
146,57789,Women,Personal Care,Makeup,Compact,Spring,2017.0,,Lotus Herbals Pure Radiance Light Choco Compact 555,24,12,Not specified,Not specified,1,Not specified,6,Light,Pressed,Matte,Not specified,Skin,Lotus Herbals,355
147,57745,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,,Lotus Herbals Naturalblend Swift Make-up Stick Creamy Peach Foundation 730,24,12,All,Crayon,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Peach,Lotus Herbals,345
148,57787,Women,Personal Care,Makeup,Compact,Spring,2017.0,,Lotus Herbals SPF-15 Magic Mocha Compact 577,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Lotus Herbals,295
149,55229,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Absolute White Intense Skin Cover 03,24,Not specified,All,Liquid,Not specified,Not specified,Not specified,Fair to Light,Foundation,Not specified,Not specified,Skin,Lakme,775
150,57780,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,,Lotus Herbals Make-Up Hypnotica Eye Contour Definer Onyx 14,24,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Black,Lotus Herbals,225
151,55255,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Glide On Deep Teal Eye Color,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Teal,Lakme,275
152,56424,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Streetwear Stay On Blush Blusher,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Pink,Streetwear,540
153,56616,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Streetwear Stay On Mineral Peppy Apricot Blusher,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Peach,Streetwear,525
154,49097,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Deborah Ultrafine Compact Powder 08,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Deborah,595
155,56611,Women,Personal Care,Makeup,Compact,Spring,2017.0,,Streetwear Stay On Caramel Compact,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,475
156,55299,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Lakme Absolute Eye Chromatic Day Shimmer Baked Eye Shadow,24,Not specified,Not specified,Pressed Powder,1,Not specified,Not specified,Not specified,Not specified,Glitter,Long Lasting,"Bronze, Bronze",Lakme,595
157,49099,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Deborah 24 Ore Perfect Foundation Apricot 4,36,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Deborah,650
158,55264,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Fantasy Mystic Mauve Shimmer Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Purple,Lakme,295
159,56618,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Streetwear Stay On Pink Sugar Blush,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Pink,Streetwear,540
160,55263,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Fantasy Midnight Moon Shimmer Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Grey,Lakme,300
161,55297,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Lakme Absolute Eye Chromatic Night Flash Baked Eye Shadow,Not specified,Not specified,Not specified,Pressed Powder,1,Not specified,Not specified,Not specified,Not specified,Glitter,Long Lasting,"Multi, Purple",Lakme,595
162,57739,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lotus Herbals Pure Radiance Caramel Daily Foundation 370,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lotus Herbals,245
163,57752,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lotus Herbals Natural Blend Comfort Liquid Buff Foundation 320,24,12,Normal,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lotus Herbals,345
164,55237,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Invisible Finish Foundation 05,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Lakme,260
165,55230,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Perfect Radiance Intense Whitening Golden Medium Foundation 03,36,6,All,Liquid,1,High,12,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,450
166,55239,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Invisible Finish Foundation 02 Foundation,36,24,All,Cream,1,Medium,24,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,250
167,57790,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Lotus Herbals Pure Radiance Matte Pearl Compact 545,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Lotus Herbals,355
168,55296,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Lakme Absolute Eye Chromatic Night Desire Baked Eye Shadow,Not specified,Not specified,Not specified,Pressed Powder,1,Not specified,Not specified,Not specified,Not specified,Glitter,Long Lasting,"Purple, Lavender",Lakme,595
169,55262,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Absolute Forever Silk Electric Violet Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Purple,Lakme,425
170,57738,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,,Lotus Herbals Natural Kajal,24,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Lotus Herbals,145
171,55265,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Fantasy Glimmer Blue Shimmer Eye Liner,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Blue,Lakme,300
172,56619,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Streetwear Stay On Blush Blusher,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Pink,Streetwear,540
173,55253,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Glide On Aqua Marine Eye Color,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Blue,Lakme,350
174,56610,Women,Personal Care,Makeup,Compact,Spring,2017.0,,Streetwear Stay On Pearl Compact,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Streetwear,475
175,55298,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Lakme Absolute Eye Chromatic Day Queen Baked Eye Shadow,Not specified,Not specified,Not specified,Pressed Powder,1,Not specified,Not specified,Not specified,Not specified,Glitter,Long Lasting,"Green, Green",Lakme,595
176,56617,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,,Streetwear Stay On Mineral Pink Rosette Blusher,Not specified,Not specified,Not specified,Cream,1,Not specified,Not specified,Light to Medium,Not specified,Matte,Not specified,Pink,Streetwear,525
177,55402,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Grow Luscious Onyx Lash Liner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Revlon,450
178,55254,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Lakme Glide On Vivid Blue Eye Color,Not specified,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Blue,Lakme,350
179,49096,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Deborah Ultrafine Compact Powder 07,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Deborah,595
180,57791,Women,Personal Care,Makeup,Compact,Spring,2017.0,,Lotus Herbals Natural Blend Botanical Compact 570,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Lotus Herbals,425
181,55238,Women,Personal Care,Makeup,Foundation and Primer,Summer,2019.0,Casual,Lakme Invisible Finish 04 Foundation,Not specified,Not specified,All,Liquid,1,Medium,Not specified,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,250
182,55231,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lakme Perfect Radiance Intense Whitening Ivory Fair Foundation 01,36,6,All,Liquid,1,High,12,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,450
183,55236,Women,Personal Care,Makeup,Foundation and Primer,Summer,2019.0,Casual,Lakme Invisible Finish 01 Foundation,Not specified,Not specified,All,Liquid,1,Minimal,Not specified,Fair to Light,Foundation,Not specified,Regular,Skin,Lakme,250
184,57753,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Lotus Herbals Sand Naturalblend Comfort Liquid Foundation 310,24,12,Normal,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Lotus Herbals,345
185,56151,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Kohl Intense Blackened Eye Liner 001,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Black,Colorbar,499
186,56160,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Glide Jaded Eye Pencil 03,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Green,Colorbar,550
187,56194,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Colorbar Blush New Peachy Rose Blusher 004,24,12,Not specified,Cream,1,Not specified,6,Light to Medium,Not specified,Matte,Not specified,Pink,Colorbar,375
188,55523,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Revlon Photo Ready Makeup Shell 003,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Revlon,950
189,55524,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Revlon Skinlights Natural Light Face Illuminator 01,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Revlon,800
190,56193,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,ColorBar Cinnabar Blusher 11,24,12,Not specified,Cream,1,Not specified,6,Light to Medium,Not specified,Matte,Not specified,"Pink, Beige",Colorbar,375
191,56167,Women,Personal Care,Makeup,Kajal and Eyeliner,Summer,2019.0,Casual,Colorbar Precision Waterproof Eye Liner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Black,Colorbar,399
192,56158,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Glide Prunella Eye Pencil 05,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Purple,Colorbar,399
193,49110,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Deborah New Skin Compact Foundation 01,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Deborah,695
194,56568,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Streetwear Shine Divine Whitening Liquid Fawn Foundation,Not specified,Not specified,All,Not specified,Not specified,Not specified,Not specified,Fair to Light,Not specified,Not specified,Not specified,Skin,Streetwear,400
195,55114,Women,Personal Care,Makeup,Compact,Summer,2019.0,Casual,Lakme Absolute White Intense Golden Medium Wet & Dry Compact 03,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Lakme,700
196,56133,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Colorbar Time Plus Long Stay Dark Beige Foundation 02,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Long-Wearing,Beige,Colorbar,450
197,55584,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Revlon Photo Ready Berry Sculpting Blush Palette 03,24,12,Not specified,Cream,1,Not specified,6,Light to Medium,Not specified,Matte,Not specified,"Mauve, Brown, Beige",Revlon,900
198,55548,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Colorstay Green Spark Eye Pencil,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Teal,Revlon,440
199,56134,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Colorbar Time Plus Light Beige Long Stay Makeup 01,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Long-Wearing,Skin,Colorbar,450
200,49128,Women,Personal Care,Makeup,Concealer,Spring,2017.0,Casual,Deborah Light Beige  24 Ore Perfect Concealer 01,48,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Beige,Deborah,430
201,55577,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Revlon Touch & Glow Rose Matte Moisturising Powder 64,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Pink,Revlon,515
202,55113,Women,Personal Care,Makeup,Compact,Summer,2019.0,Casual,Lakme Absolute White Intense Beige Honey Wet & Dry Compact 05,36,6,Not specified,Not specified,1,Not specified,24,Combination,Pressed,Matte,Not specified,Beige,Lakme,700
203,55541,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Colorstay Black Eyeliner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Black,Revlon,550
204,55579,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Revlon Touch & Glow Ivory Matte Compact,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Revlon,415
205,55546,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Blackest Eyeliner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Black,Revlon,560
206,56166,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar I-Define Silver Slate Eye Pencil 001,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Lavender,Colorbar,325
207,56192,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Colorbar Time Plus Ivory Compact 004,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Colorbar,200
208,55525,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,Revlon Skinlights Golden Light Face Illuminator 02,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Revlon,750
209,55522,Women,Personal Care,Makeup,Foundation and Primer,Spring,2017.0,Casual,Revlon Photo Ready Nude Makeup 004,24,12,All,Liquid,1,Medium,6,Fair to Light,Foundation,Not specified,Regular,Skin,Revlon,975
210,56195,Women,Personal Care,Makeup,Highlighter and Blush,Spring,2017.0,Casual,ColorBar Fucsia Blush,24,12,Not specified,Cream,1,Not specified,6,Light to Medium,Not specified,Matte,Not specified,Brown,Colorbar,375
211,56157,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Blackout I-Glide Eye Liner 06,24,12,Not specified,Not specified,1,Not specified,6,Not specified,Pencil,Not specified,Smudge Proof,Black,Colorbar,499
212,56168,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Color Intense Sizzling Pearl Liquid Eye Liner 011,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,White,Colorbar,350
213,56150,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Colorbar Mysterious Blue Eye Liner 002,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Blue,Colorbar,399
214,57875,Women,Personal Care,Makeup,Makeup Remover,Spring,2017.0,,Biotique Bio Almond Oil Soothing Face & Eye Makeup Cleanser,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Green,Biotique,149
215,55578,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Revlon Touch & Glow Ivory Matte Compact 04,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Revlon,415
216,55547,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Mauve Spark Colorstay Sparkling Eyeliner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Smudge Proof,Purple,Revlon,440
217,55540,Women,Personal Care,Makeup,Eyeshadow,Spring,2017.0,Casual,Revlon Illuminance Copper Coast Creme Shadow 01,24,12,Not specified,Cream,1,Not specified,6,Not specified,Not specified,Glitter,Not specified,"Copper, Beige",Revlon,540
218,55549,Women,Personal Care,Makeup,Kajal and Eyeliner,Spring,2017.0,Casual,Revlon Sparkling Brown Eyeliner,36,Not specified,Not specified,Not specified,1,Not specified,Not specified,Not specified,Pencil,Not specified,Waterproof,Brown,Revlon,440
219,55576,Women,Personal Care,Makeup,Compact,Spring,2017.0,Casual,Revlon Photo Ready Fair / Light Compact 01,24,12,Not specified,Not specified,1,Not specified,6,Combination,Pressed,Matte,Not specified,Skin,Revlon,850
220,49129,Women,Personal Care,Makeup,Concealer,Spring,2017.0,Casual,Deborah Medium Beige 24 Ore Perfect Concealer 4,48,Not specified,All,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Skin,Deborah,675
